voter_id	voter_surname	voter_name
376	Jungová	Yvona
377	Kalousek	Miroslav
378	Kocourek	Martin
379	Kohlíèek	Jaromír
380	Korbel	Ladislav
381	Koøistka	Zdenìk
382	Koudelka	Zdenìk
383	Krajíèek	Miroslav
384	Krátkı	Libor
385	Krejèí	Josef
386	Køeèek	Stanislav
387	Kuèera ml.	Miloslav
388	Kuèera st.	Miloslav
389	Kühnl	Karel
390	Kvapil	Tomáš
391	Lang	Pavel
392	Lobkowicz	Jaroslav
393	Máèe	Miroslav
394	Machatá	Marie
395	Mareš	Petr
396	Martínek	Radko
397	Matìjù	Petr
398	Mlynáø	Vladimír
399	Müllerová	Ludmila
400	Nedvìdová	Veronika
401	Nìmcová	Miroslava
402	Nìmec	Stanislav
403	Nìmec	Pavel
404	Ondruš	František
405	Ouzkı	Miroslav
406	Páralová	Alena
407	Patoèka	Jiøí
408	Paulík	Vladimír
409	Pejøil	František
410	Petr	Bøetislav
411	Pícl	Václav
412	Rozehnal	Aleš
413	Starec	Martin
414	Stránská	Zdeòka
415	Suchánek	Pavel
416	Svoboda	Cyril
417	Svoboda	Pavel
418	Svoboda	Jan
419	Šplíchal	Karel
420	Šustr	Ladislav
421	Talmanová	Lucie
422	Urban	Milan
423	Vávra	Eduard
424	Vejvoda	Josef
425	Vlèková	Miroslava
426	Vnouèek	František
427	Volfová	Jana
428	Vymìtal	Vojtìch
429	Zahradil	Jan
430	Zajíèek	Tom
431	Záruba	Bohuslav
432	Zuna	Milan
433	Dyba	Karel
434	Tigrid	Pavel
435	Benda	František
436	Schneider	Jaromír
437	Øíman	Martin
438	Gruša	Jiøí
439	Šedivı	Jaroslav
440	Tošovskı	Josef
441	Bursík	Martin
442	Roithová	Zuzana
443	Stropnickı	Martin
444	Sokol	Jan
445	Moos	Petr
446	Lánskı	Egon
447	Mertlík	Pavel
448	Rychetskı	Pavel
449	Svoboda	Ivo
450	Kavan	Jan
451	Vetchı	Vladimír
452	Císaø	Jaromír
453	Fencl	Jan
454	Kuvart	Miloš
455	Motejl	Otakar
456	Peltrám	Antonín
457	Havlíèek	Jiøí
458	Œliwka	Karol
459	Abrahám	Jan
460	Abrt	Josef
461	Ács	Silvestr
462	Adam	Èestmír
463	Adam	Gejza
464	Adamèíková	Margita
465	Adamec	Ervín
466	Adamec	Ladislav
467	Adámek	František
468	Adámek	Jiøí
469	Adámek	Josef
470	Adámek	Milan
471	Adámek	Miroslav
472	Adamík	Jaroslav
473	Adamová	Margita
474	Adamová	Marie
475	Adamovskı	Antonín
476	Adrianová	Mária
477	Ambros	Rafael
478	Ambruz	Vladimír
479	Andìl	Karel
480	Andìl	Václav
481	Andelová	O¾ga
482	Anderko	Anton
483	Andrássy	František
484	Andrejová	Terézia
485	Andrle	Antonín
486	Andrlík	Vladimír
487	Andrš	Josef
488	Andrıs	Ján
489	Andrısek	Milan
490	Antal	Vojtech
491	Antony	František
492	Appelt	Rudolf
493	Arnošt	František
494	Árvay	Jozef
495	Aster	Jaroslav
496	Aubrecht	Jan
497	Aubrecht	Vojtìch
498	Auersperg	Pavel
499	Augenthalerová	Zdeòka
500	Aulitisová	Irena
501	Aust	Jaromír
502	Aust	Ludvík
503	Axman	Miloš
504	Axmann	František
505	Axmann	Rudolf
506	Babálová	Marta
507	Babánek	Josef
508	Babej	Peter
509	Bábek	Alois
510	Babel	Kurt
511	Bábi	Péter
512	Babilonská	Zita
513	Babinec	Štefan
514	Baèík	Vladimír
515	Bacílek	Karol
516	Baèinskı	Štefan
517	Baco	Peter
518	Baculáková	Veronika
519	Baeran	Alois
520	Bagín	Pavol
521	Bagoòa	Ondrej
522	Bahyl	Pavol
523	Bacher	František
524	Baier	Jiøí
525	Bajerová	Antonie
526	Bajnok	István
527	Bakšay	Jozef
528	Baku¾a	Michal
529	Balabán	Oldøich
530	Balánová	Irena
531	Balaš	Vladimír
532	Balá	Jozef
533	Balcárek	Pavel
534	Baldovskı	¼udovít
535	Baleszová	Mária
536	Balgavı	Pavol
537	Balík	Petr
538	Balla	Zoltán
539	Balog	Dezider
540	Balog	Ernest
541	Balogh	Štefan
542	Baòaøová	Eva
543	Bandák	Ján
544	Bánes	Alexander
545	Bánskı	Zoltán
546	Baráèek	Gustav
547	Barák	Rudolf
548	Baran	Michal
549	Baran	Pavol
550	Barèák	Andrej
551	Bardoòová	Jana
552	Bareš	Gustav
553	Baøina	František
554	Baøinová	Pavla
555	Barša	Emanuel
556	Barša	Josef
557	Bárta	Boleslav
558	Bárta	Zdenìk
559	Barták	Radko
560	Barták	Václav
561	Bartakovics	Štefan
562	Bartalos	Štefan
563	Bartášek	Jaromír
564	Bartel	Hans
565	Bartheldy	Miroslav
566	Bartíková	Krista
567	Bartonèík	Josef
568	Bartoš	Antonín
569	Bartoš	Lubomír
570	Bartoš	Miroslav
571	Bartoš	Václav
572	Bartošek	Miroslav
573	Bartošek	Theodor
574	Bartošík	Jan
575	Bartošková	Vìra
576	Bartuška	Jan
577	Baruš	Vlastimil
578	Baryl	Jan
579	Baštigál	Eduard
580	Bašovanskı	Štefan
581	Bátìk	Václav
582	áèková-Batková	Jaromíra
583	Batta	István
584	Battìk	Rudolf
585	Baudyš	Stanislav
586	Bauer	Miroslav
587	Bauer	Oldøich
588	Baumgartl	Johann
589	Bayer	František
590	Bazala	Stanislav
591	Bazala	Štefan
592	Bazovskı	Ludevít
593	Beèák	Jaroslav
594	Beèka	Bohdan
595	Beèko	Ján
596	Bednaøíková	Marie
597	Bìhálek	Luboš
598	Beharka	Ján
599	Bechynì	Rudolf
600	Bekárek	Milan
601	Bekr	Antonín
602	Belas	Jozef
603	Bìlehrádek	Jan
604	Bìlíková	Adéla
605	Belko	Jozef
606	Bella	Methodìj
607	Belluš	Samuel
608	Bellušová	Edita
609	Belohorská	Irena
610	Belokostolská	Mária
611	Benada	¼udovít
612	Benc	Miloslav
613	Benèík	Michal
614	Benèíková	Albína
615	Benda	Bøetislav
616	Benda	Ferdinand
617	Benda	Štìpán
618	Benda	Václav
619	Bendík	Ján
620	Bendík	Miroslav
621	Bendová	Gizela
622	Bendák	Ján
623	Beneš	Alois
624	Beneš	Edvard
625	Beneš	František
626	Beneš	Jiøí
627	Beneš	Vojta
628	Benešová	Josefa
629	Benešová	Lenka
630	Benešová	Zdeòka
631	Beniaè	Peter
632	Benko	František
633	Benko	Pavel
634	Beòo	Mikuláš
635	Beòo	Ondrej
636	Berák	Jaromír
637	Beran	Alois
638	Beran	Josef
639	Beran	Oldøich
640	Beran	Rudolf
641	Beránková	Vlasta
642	Bereèka	Rudolf
643	Berenreiter	Václav
644	Bereza	Rudolf
645	Bergman	Rudolf
646	Bergmann	Hugo
647	Berit	Jaromír
648	Bernard	Vilém
649	Bernášek	Jaroslav
650	Bernášková	Alena
651	Bernášková	Kvìtoslava
652	Bernát	Alojz
653	Berník	Matej
654	Berta	Ján
655	Bertl	Pavel
656	Bešíková	Ivana
657	Besserová-Kleòhová	Ladislava
658	Betíková	Anna
659	Beuer	Gustav
660	Beutel	Franz
661	Bezdìk	Bedøich
662	Bezdìk	Josef
663	Bezdìk	Zdenìk
664	Bezecnı	Jiøí
665	Bìel	Václav
666	Bibeò	Vladimír
667	Bicková	Jitka
668	Bielik	Ernest
669	Bielik	Štefan
670	Bichler	Antonín
671	Bi¾ak	Vasil
673	Bílek	František
674	Bilková	Jarmila
675	Bill	František
676	Bína	Josef
677	Bindas	Tibor
678	Biòovec	František
679	Biòovec	Karel
680	Birke	Hubert
681	Bistøickı	Otomar
682	Blaha	Ladislav
683	Bláha	Bohuslav
684	Bláha	František
685	Bláha	Michal
686	Blahák	Ján
687	Blahník	Miloslav
688	Blaho	Pavel
689	Blaho	Pavol
690	Blaško	Štefan
691	Blatny	Fanni
692	Blaej	Anton
693	Blaek	Antonín
694	Blaek	Jan
695	Blaek	Jaroslav
696	Blaek	Oldøich
697	Blaek	Štefan
698	Blaek	Václav
699	Blaek	Vladimír
700	Blakoviè	Dionız
701	Bleyer	Jan
702	Blín	Josef
703	Blisková	Anna
704	Bobek	Bedøich
705	Bobek	Emil
706	Bobková	Boena
707	Bobok	Arnold
708	Bobovnickı	Július
709	Bocek	Karel
710	Boèková	Jiøina
711	Boïa	Koloman
712	Boïa	Miloslav
713	Bódisová	Elena
714	Bodnár	František
715	Bohatová	Anna
716	Bohdálek	Pøemysl
717	Bohdanovskı	Tibor
718	Böhm	Emanuel
719	Böhm	Georg
720	Böhm	Rudolf
721	Böhr	Josef
722	Bohunickı	Peter
723	Bohunskı	Ján
724	Bohuš	Vincent
725	Bohuslav	Adolf
726	Bochenek	Miroslav
727	Bolen	Václav
728	Böllmann	Georg
729	Bollo	Alexander
730	Bónová	Elena
731	Borgu¾a	Michal
732	Borisová	Zdena
733	Borkaòuk	Olexa
734	Boros	Zoltán
735	Boroš	Ján
736	Borovièka	Martin
737	Borovskı	Ondrej
738	Borovszky	Géza
739	Borskı	Vladimír
740	Borùvka	Josef
741	Bosák	Vladimír
742	Bošnák	Štefan
743	Botková	Terezia
744	Botková	Zdena
745	Botto	Ján
746	Bouèek	Václav
747	Bouchal	Adolf
748	Bouška	Jaroslav
749	Brabec	Antonín
750	Brabec	Jaroslav
751	Brabenec	František
752	Bráborec	Miloslav
753	Braèok	Štefan
754	Brada	Stanislav
755	Bradáè	Bohumír
756	Branèík	Antonín
757	Braneckı	Jozef
758	Branná	Dana
759	Branovskı	Jiøí
760	Brdlík	Vladislav
761	Brejha	Jiøí
762	Brenèiè	Štefan
763	Bøezinová	Kvìtoslava
764	Brenı	Jan
765	Brenı	Vladimír
766	Brida	Matúš
767	Brieška	Jozef
768	Bøicháèek	Jaroslav
769	Brisuda	Josef
770	Brodeckı	Vilém
771	Bródy	Andrej
772	Brodziansky	Kamil
773	Broj	Stanislav
774	Brokeš	Slavoj
775	Bro	Josef
776	Broík	Karel
777	Brúha	Jozef
778	Brukner	Jan
779	Brunar	Heinrich
780	Brunner	Miloš
781	Brùek	Miloslav
782	Brùek	Zdenìk
783	Brychová	Ludmila
784	Buban	Slávko
785	Bubeník	Jan
786	Bubeník	Radomír
787	Bubník	František
788	Bubník	Josef
789	Bubník	Stanislav
790	Buèák	Pavel
791	Buèák	Pavol
792	Buday	Jozef
793	Budig	Franz
794	Budig	Max
795	Budínskı	Jaroslav
796	Bugár	Miloš
797	Bugár	Vojtìch
798	Buchta	Alois
799	Buchvaldek	Jan
800	Bukó	Ernest
801	Bulík	Peter
802	Bulín	Hynek
803	Bu¾ko	Štefan
804	Buòa	Juraj
805	Buna	Bohumír
806	Buocik	Ján
807	Buráòová	Anna
808	Burèák	Pavol
809	Burda	Oldøich
810	Bureš	Bohumil
811	Bureš	Jiøí
812	Bureš	Josef
813	Bureš	Rudolf
814	Burešová	Dagmar
815	Burger	Jaroslav
816	Burger	Oldøich
817	Burian	Edmund
818	Burian	Emil
819	Burian	Gustav
820	Burian	Jiøí
821	Burian	Petr
822	Burian	Václav
823	Búøil	Jaromír
824	Buøíval	František
825	Burjan	Jan
826	Burša	Vladimír
827	Burskı	Oldøich
828	Bušíková	Mária
829	Buzalka	Vladimír
830	Buzek	Jan
831	Buzek	Leopold
832	Bystrickı	¼ubor
833	Cabal	Jaroslav
834	Cabalková	Drahomíra
835	Èada	Václav
836	Caha	Miroslav
837	Èaja	Milan
838	Èajko	Lubomír
839	Èakrtová	Blaena
840	Èalfa	Marián
841	Èambalová	Vincencia
842	Èanèara	Jan
843	Èanda	Mikuláš
844	Caòkáø	Josef
845	Cap	Štefan
846	Èáp	František
847	Èáp	Josef
848	Èapek	Drahoslav
849	Èapka	František
850	Èapka	Miroslav
851	Èaploviè	Vladímír
852	Èápová	Libuše
853	Èarnogurskı	Ivan
854	Èáslavská	Pavla
855	Èasnı	Felix
856	Èavojskı	Rudolf
857	Èech	Ján
858	Èech	Vítìzslav
859	Èech	Vladimír
860	Èechová	Heda
861	Èechová	Rùena
862	Èejka	Jiøí
863	Èejková	Mahulena
864	Cejnek	Rudolf
865	Èekanová	ofia
866	Èepièka	Alexej
867	Èepièková	Jana
868	Cepl	Ladislav
869	Èermáèek	¼udovít
870	Èermak	Karl
871	Èermák	Augustin
872	Èermák	Bohumil
873	Èermák	Josef
874	Èermák	Július
875	Èermáková	Helena
876	Èermáková	Marie
877	Èerná	Marcela
878	Èerná	Marie
879	Èernáèek	¼udovít
880	Èernák	Zoltán
881	Èerník	Josef
882	Èerník	Oldøich
883	Èerno	Jan
884	Èernovskı	Václav
885	Èernı	Albert
886	Èernı	Antonín
887	Èernı	Emanuel
888	Èernı	Jan
889	Èernı	Jan
890	Èernı	Jan
891	Èernı	Jaroslav
892	Èernı	Jiøí
893	Èernı	Josef
894	Èernı	Josef
895	Èernı	Josef
896	Èernı	Josef
897	Èernı	Josef
898	Èernı	Josef
899	Èernı	Ludvík
900	Èernı	Vratislav
901	Èervenka	František
902	Èervenka	Vladimír
903	Èervenka	Zdenìk
904	Èervenı	Rudolf
905	Èervenı	Václav
906	Èervinka	Antonín
907	Èervinka	Ervín
908	Èervinka	František
909	Èervinka	Jan
910	Èervinka	Vincenc
911	Èeška	Ladislav
912	Èeška	Zdenìk
913	Èesnek	Vojtech
914	Cibelius	Jiøí
915	Cibulka	Josef
916	Cibuzar	Václav
917	Èiè	Milan
918	Èièmanec	Jaromír
919	Èièmanec	Pavel
920	Cigan	Ján
921	Cígler	Ladislav
922	Èihák	Bohumil
923	Èihák	Josef
924	Èíhalík	Antonín
925	Èíhalová	Boena
926	Cihláø	Josef
927	Èillik	Ján
928	Cimplová	Vìra
929	Cingr	Petr
930	Cinkota	Dušan
931	Èipera	Vojtìch
932	Cipro	Václav
933	Cirkl	František
934	Císaø	Èestmír
935	Èivrnı	Lumír
936	Èí	Gabriel
937	Èiek	Augustin
938	Èíek	Alois
939	Èiinská	Marie
940	Èíková	Anna
941	Èíková	Jana
942	Clementis	Vladimír
943	Èmelo	Alojz
944	Cmíralová	Marie
945	Èobrda	Vladimír
946	Èollák	Pavol
947	Colotka	Peter
948	Comba	Jozef
949	Coufal	Alois
950	Coufal	Bøetislav
951	Coufal	Ladislav
952	Csank	Eugen
953	Csémi	Jozef
954	Cserge	Karol
955	Csomor	Štefan
956	Ctibor	Tomáš
957	Ètvrtníèek	Miloslav
958	Èubár	Václav
959	Èubová	Marta
960	Èubrda	Jaroslav
961	Cuhra	Jaroslav
962	Èulen	Marek
963	Èulíková	Vìra
964	Èumpl	Zdenìk
965	Èundrlík	Vincenc
966	Cuper	Ján
967	Èupr	František
968	Èurda	Jiøí
969	Èuøík	Antonín
970	Èverèko	Michal
971	Cvik	Rudolf
972	Cvinèek	Andrej
973	Cvinèek	František
974	Cyprich	Michal
975	Czech	Ludwig
976	Danìk	Josef
977	Danìk	Ladislav
978	Daniel	Andrej
979	Danieliè	Peter
980	Danielová	Boena
981	Danielová	Marie
982	Danihel	Ivan
983	Danihel	Štefan
984	Danihel	Vincent
985	Daniš	Imrich
986	Daniš	Ivan
987	Daniš	Ján
988	Danko	Ján
989	Dankovièová	Jozefína
990	Danneberg	Leonard
991	Dará	Karol
992	Darula	Štefan
993	Daubner	Vojtech
994	David	Josef
995	David	Pavol
996	David	Václav
997	David	Vlastimil
998	Daxer	Jindøich
999	Daxner	Ján
1000	Daxner	Samo
1001	Deèi	Bohuslav
1002	Dìd	Jan
1003	Dìdek	Václav
1004	Dìdic	Karel
1005	Dìdiè	Jakub
1006	Delinga	Pavel
1007	Dembovskı	Karol
1008	Demmer	Tibor
1009	Dérer	Ivan
1010	Desenskı	František
1011	Deutsch	Marie
1012	Devátı	Stanislav
1013	Deveèka	Andrej
1015	Deyl	Vojtìch
1016	Dienstbier	Jiøí
1017	Dienstbier	Jiøí
1018	Dietl	Anton
1019	Divilová	Olga
1020	Diviš	Eduard
1021	Dlouhı	František
1022	Dlouhı	Jaromír
1023	Dobiáš	Jan
1024	Dobiáš	Václav
1025	Dobos	Stanislav
1026	Doboš	Imrich
1027	Dobránsky	Ján
1028	Dobrovolnı	Jozef
1029	Dobrozemská	Ludmila
1030	Doèkal	Miloslav
1031	Doèkalová	Aneka
1032	Dohnal	Lubomír
1033	Dohnal	Milan
1034	Dohnal	Vojtìch
1035	Dohnálek	Karel
1036	Dohnalová	Danuše
1037	Dohnalová	Zdena
1038	Doksanskı	Josef
1039	Dolanskı	Jaromír
1040	Dolanskı	Josef
1041	Dolanskı	Julius
1042	Doleèek	Jan
1043	Dolejšek	Stanislav
1044	Doleal	Bohumil
1045	Doleal	Jiøí
1046	Doleal	Josef
1047	Doleal	Ladislav
1048	Doleal	Václav
1049	Dolealová	Kamila
1050	Doleel	Jan
1051	Dolgoš	¼ubomír
1052	Dölling	Rudolf
1053	Dolník	Milan
1054	Domas	Josef
1055	Domin	Karel
1056	Dominik	Rudolf
1057	Dona	Jiøí
1058	Donát	Václav
1059	Dondová	Alena
1060	Dordová	Halina
1061	Doriè	Michal
1062	Dospíšil	Ivan
1063	Dostál	František
1064	Dostálek	Jan
1065	Doubek	Bohumil
1066	Doubek	Štìpán
1067	Doupovec	Karel
1068	Dráb	Rudolf
1069	Dragounová	Vìra
1070	Drahota	Miloslav
1071	Draxl	Václav
1072	Drda	Jan
1073	Drešerová	Dana
1074	Drgoò	Dominik
1075	Drobáò	Michal
1076	Drobnı	Jozef
1077	Drobnı	Vladimír
1078	Drtina	Prokop
1079	Dubèek	Alexander
1080	Dubeò	Baltazár
1081	Dubickı	Jan
1082	Dubnická	Albìta
1083	Dubová	Mária
1084	Dubská	Marie
1085	Dubská	Zdeòka
1086	Duda	Milan
1087	Dudaè	František
1088	Dudášová-Géreczová	Helena
1089	Dudešek	Petr
1090	Dufala	Emil
1091	Dufek	Josef
1092	Dúha	Alojz
1093	Duhanèik	Michal
1094	Ducháèek	Ivo
1095	Duchaj	Jan
1096	Ducho	Michal
1097	Dula	Matúš
1098	Dupej	Peter
1099	Duray	Miklós
1100	Durcová-Heømanová	Mária
1101	Ïuriš	Július
1102	Ïurišová	Irena
1103	Ïurkoviè	Herbert
1104	Durná-Hercková	Jolana
1105	Dušek	Cyril
1106	Dušek	Jiøí
1107	Dušek	Pavel
1108	Dušek	Rudolf
1109	Dutková	Eva
1110	Dvoøáèek	Jan
